<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ACB,20200626,23.8,24,23.6,23.6,1400341,23.8,24,23.6,23.6,165200,0,0
ACB,20200625,23.7,23.8,23.5,23.7,2500893,23.7,23.8,23.5,23.7,0,0,0
ACB,20200624,24,24.3,23.7,23.8,3013466,24,24.3,23.7,23.8,0,0,0
ACB,20200623,24.2,24.4,23.9,24,3282364,24.2,24.4,23.9,24,548300,0,0
ACB,20200622,24.4,24.7,24,24.1,2256643,24.4,24.7,24,24.1,150005,0,0
ACB,20200619,23.8,24.5,23.8,24.4,2334941,23.8,24.5,23.8,24.4,0,0,0
ACB,20200618,23.7,23.9,23.4,23.8,1301526,23.7,23.9,23.4,23.8,0,0,0
ACB,20200617,24.3,24.3,23.5,23.7,1598000,24.3,24.3,23.5,23.7,0,0,0
ACB,20200616,23.6,24.2,23.6,23.8,4198360,23.6,24.2,23.6,23.8,6,0,0
ACB,20200615,24.7,24.7,23.2,23.3,5885937,24.7,24.7,23.2,23.3,0,0,0
ACB,20200612,24,24.5,23.4,24.5,6648375,24,24.5,23.4,24.5,0,0,100
ACB,20200611,25.6,25.8,24.4,24.5,9172138,25.6,25.8,24.4,24.5,0,0,0
ACB,20200610,25.5,25.9,25.2,25.6,6494275,25.5,25.9,25.2,25.6,79001,10,0
ACB,20200609,25.5,25.6,25.2,25.5,3531851,25.5,25.6,25.2,25.5,15,0,0
ACB,20200608,25.2,26,25.2,25.4,6087882,25.2,26,25.2,25.4,70,0,0
ACB,20200605,25.4,25.4,24.9,25.2,4025847,25.4,25.4,24.9,25.2,79000,0,10
ACB,20200604,25.6,25.7,25.2,25.3,5159832,25.6,25.7,25.2,25.3,98,0,0
ACB,20200603,24.8,25.5,24.8,25.5,3758964,24.8,25.5,24.8,25.5,0,0,0
ACB,20200602,25.5,26.5,24.8,24.8,10935462,25.5,26.5,24.8,24.8,9,0,0
ACB,20200601,23,25.1,22.9,25.1,13859688,23,25.1,22.9,25.1,10050,0,0
ACB,20200529,22.9,23,22.7,22.9,2394358,22.9,23,22.7,22.9,0,0,0
ACB,20200528,22.8,23.2,22.8,22.9,3568932,22.8,23.2,22.8,22.9,187,0,0
ACB,20200527,23.5,23.7,22.8,22.8,6389497,23.5,23.7,22.8,22.8,22000,0,0
ACB,20200526,22.5,23.5,22.5,23.3,5267006,22.5,23.5,22.5,23.3,0,0,0
ACB,20200525,22.5,22.7,22.3,22.6,3519682,22.5,22.7,22.3,22.6,1173000,0,0
ACB,20200522,22.5,22.7,22.3,22.4,4841440,22.5,22.7,22.3,22.4,17,0,0
ACB,20200521,22.2,22.7,21.9,22.4,4622625,22.2,22.7,21.9,22.4,4010000,0,0
ACB,20200520,22.1,22.4,22,22.2,3116422,22.1,22.4,22,22.2,12100,0,0
ACB,20200519,22,22.5,22,22.2,5561531,22,22.5,22,22.2,530069,0,0
ACB,20200518,21.9,21.9,21.4,21.8,2771622,21.9,21.9,21.4,21.8,80003,0,0
ACB,20200515,21.5,22.2,21.4,21.7,6937907,21.5,22.2,21.4,21.7,100000,0,0
ACB,20200514,21.7,21.8,21.4,21.4,3827622,21.7,21.8,21.4,21.4,30000,0,0
ACB,20200513,22,22,21.5,21.7,3453900,22,22,21.5,21.7,3770000,1,0
ACB,20200512,21.7,22,21.4,21.8,4057939,21.7,22,21.4,21.8,107491,0,0
ACB,20200511,21.9,21.9,21.4,21.7,4108808,21.9,21.9,21.4,21.7,338043,10,0
ACB,20200508,21.3,21.9,21,21.4,5995918,21.3,21.9,21,21.4,26000,0,1
ACB,20200507,20.9,21.2,20.8,21.2,2973997,20.9,21.2,20.8,21.2,420000,0,0
ACB,20200506,20.4,21.2,20.2,20.8,4453036,20.4,21.2,20.2,20.8,0,0,0
ACB,20200505,20.2,20.4,20.2,20.3,1126770,20.2,20.4,20.2,20.3,0,0,10
ACB,20200504,20.5,20.5,20.1,20.3,1193939,20.5,20.5,20.1,20.3,100000,0,0
ACB,20200429,20.3,20.5,20.2,20.5,1196049,20.3,20.5,20.2,20.5,55018,0,0
ACB,20200428,20.1,20.4,20,20.3,1246915,20.1,20.4,20,20.3,0,0,0
ACB,20200427,20.3,20.6,20,20.1,1806851,20.3,20.6,20,20.1,205014,0,0
ACB,20200424,20.2,20.4,20,20.3,1264729,20.2,20.4,20,20.3,30023,0,0
ACB,20200423,20.5,20.8,20.3,20.3,2076603,20.5,20.8,20.3,20.3,0,0,0
ACB,20200422,19.8,20.4,19.4,20.4,2637424,19.8,20.4,19.4,20.4,141900,128900,128900
ACB,20200421,20.6,20.6,19.7,19.8,6015799,20.6,20.6,19.7,19.8,292034,0,0
ACB,20200420,21.2,21.2,20.6,20.7,3064104,21.2,21.2,20.6,20.7,1,0,0
ACB,20200417,20.5,21.1,20.5,21,4809341,20.5,21.1,20.5,21,50,0,0
ACB,20200416,20.2,20.4,20.1,20.4,1895213,20.2,20.4,20.1,20.4,5,0,0
ACB,20200415,20,20.7,20,20.2,3686239,20,20.7,20,20.2,0,1,0
ACB,20200414,20,20.2,19.7,20,3167293,20,20.2,19.7,20,0,0,0
ACB,20200413,17.9,20.4,17.9,20,1925700,17.9,20.4,17.9,20,0,0,0
ACB,20200410,19,20.2,19,19.8,2517477,19,20.2,19,19.8,7,0,0
ACB,20200409,22.2,22.2,20,20,4068966,22.2,22.2,20,20,0,0,0
ACB,20200408,22.3,22.3,19.7,20.2,2331536,22.3,22.3,19.7,20.2,0,0,0
ACB,20200407,21,21,20,20.3,4467621,21,21,20,20.3,0,0,0
ACB,20200406,19.4,20.8,19.1,20.6,5757259,19.4,20.8,19.1,20.6,0,0,1
ACB,20200403,18.1,19.4,18.1,19.1,3574343,18.1,19.4,18.1,19.1,1808030,0,0
ACB,20200401,16.1,19,16.1,18.6,2761168,16.1,19,16.1,18.6,1500060,0,0
ACB,20200331,18.2,18.8,17.4,17.8,4532153,18.2,18.8,17.4,17.8,220000,0,0
ACB,20200330,19.5,19.5,17.9,18.2,5925098,19.5,19.5,17.9,18.2,10000,90,0
