<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SHS,20200724,11.5,11.5,10.4,10.4,6144900,11.5,11.5,10.4,10.4,0,84100,0
SHS,20200723,12,12,11.3,11.5,1857200,12,12,11.3,11.5,0,200,0
SHS,20200722,12.6,12.7,11.8,11.9,2041076,12.6,12.7,11.8,11.9,0,200,0
SHS,20200721,12.3,12.48,12.12,12.3,2312239,13.5,13.7,13.3,13.5,0,205300,15300
SHS,20200720,12.57,12.57,12.11,12.21,3084260,13.8,13.8,13.3,13.4,0,140600,0
SHS,20200717,12.48,12.66,12.39,12.57,1943238,13.7,13.9,13.6,13.8,101000,301100,2000
SHS,20200716,12.3,12.48,12.3,12.48,1898061,13.5,13.7,13.5,13.7,0,366000,0
SHS,20200715,12.66,12.66,12.3,12.3,1906121,13.9,13.9,13.5,13.5,80000,4000,139700
SHS,20200714,12.03,12.49,11.85,12.39,3175311,13.2,13.7,13,13.6,0,9000,13000
SHS,20200713,12.03,12.21,11.85,12.03,1179000,13.2,13.4,13,13.2,0,24800,86600
SHS,20200710,11.84,12.3,11.75,12.03,2682800,13,13.5,12.9,13.2,0,2500,111000
SHS,20200709,11.66,11.84,11.57,11.84,1582498,12.8,13,12.7,13,0,2500,111000
SHS,20200708,11.66,11.66,11.48,11.66,1017567,12.8,12.8,12.6,12.8,0,4100,128600
SHS,20200707,11.57,11.84,11.57,11.66,1787349,12.7,13,12.7,12.8,0,1600,235900
SHS,20200706,11.48,11.66,11.3,11.57,1622939,12.6,12.8,12.4,12.7,0,1000,49000
SHS,20200703,11.48,11.66,11.3,11.39,1102947,12.6,12.8,12.4,12.5,0,0,98000
SHS,20200702,11.57,11.66,11.39,11.48,1510085,12.7,12.8,12.5,12.6,60000,31600,57000
SHS,20200701,10.84,11.57,10.66,11.57,2080656,11.9,12.7,11.7,12.7,0,1000,55000
SHS,20200630,11.02,11.21,10.29,10.75,2945980,12.1,12.3,11.3,11.8,0,2100,112600
SHS,20200629,11.57,11.57,10.57,10.75,3554815,12.7,12.7,11.6,11.8,0,800,98000
SHS,20200626,12.12,12.21,11.57,11.66,2456046,13.3,13.4,12.7,12.8,50,0,99900
SHS,20200625,11.67,12.03,11.48,12.03,2369175,12.8,13.2,12.6,13.2,0,500,0
SHS,20200624,12.57,12.66,11.84,11.94,2340365,13.8,13.9,13,13.1,32,3000,63575
SHS,20200623,11.48,13.02,11.48,12.57,5140305,12.6,14.3,12.6,13.8,0,1900,115000
SHS,20200622,11.75,12.21,11.75,11.84,3408413,12.9,13.4,12.9,13,0,0,95520
SHS,20200619,11.48,11.85,11.48,11.66,1898846,12.6,13,12.6,12.8,350550,0,98000
SHS,20200618,11.57,11.66,11.21,11.39,1697638,12.7,12.8,12.3,12.5,0,0,203900
SHS,20200617,11.48,12.3,11.48,11.57,3474400,12.6,13.5,12.6,12.7,0,2100,17500
SHS,20200616,11.39,11.85,11.39,11.48,2419970,12.5,13,12.5,12.6,75,2100,17500
SHS,20200615,11.84,12.21,11.02,11.21,2891536,13,13.4,12.1,12.3,0,1060,132250
SHS,20200612,10.02,11.66,9.75,11.66,4320140,11,12.8,10.7,12.8,0,700,20300
SHS,20200611,11.84,12.2,10.66,10.66,4918267,13,13.4,11.7,11.7,2128300,0,227200
SHS,20200610,12.39,12.39,11.57,11.84,3071667,13.6,13.6,12.7,13,10,600,181180
SHS,20200609,11.84,12.66,11.02,12.39,4561366,13,13.9,12.1,13.6,318166,1500,185500
SHS,20200608,10.93,11.57,10.75,11.57,6306167,12,12.7,11.8,12.7,1140000,600,277500
SHS,20200605,10.21,10.57,9.93,10.57,8884319,11.2,11.6,10.9,11.6,0,0,138900
SHS,20200604,9.02,9.66,8.93,9.66,5346944,9.9,10.6,9.8,10.6,0,600,216700
SHS,20200603,8.2,8.93,8.2,8.84,3888471,9,9.8,9,9.7,1796000,27500,186000
SHS,20200602,8.29,8.38,8.11,8.2,3210787,9.1,9.2,8.9,9,0,100,1081450
SHS,20200601,8.02,8.29,8.02,8.11,2254082,8.8,9.1,8.8,8.9,0,0,637400
SHS,20200529,8.11,8.2,7.84,8.02,2017501,8.9,9,8.6,8.8,0,0,378100
SHS,20200528,8.2,8.29,8.11,8.11,1254790,9,9.1,8.9,8.9,0,0,107100
SHS,20200527,8.56,8.56,8.2,8.2,2253236,9.4,9.4,9,9,0,10000,102500
SHS,20200526,8.2,8.56,8.11,8.47,3239464,9,9.4,8.9,9.3,0,0,145200
SHS,20200525,8.11,8.2,8.02,8.2,1422144,8.9,9,8.8,9,0,0,236300
SHS,20200522,7.93,8.29,7.84,8.02,1567130,8.7,9.1,8.6,8.8,0,1800,94600
SHS,20200521,8.02,8.11,7.75,7.93,2602360,8.8,8.9,8.5,8.7,50000,800,54000
SHS,20200520,8.02,8.11,7.84,8.02,1713327,8.8,8.9,8.6,8.8,0,0,20050
SHS,20200519,8.11,8.47,8.02,8.02,2556800,8.9,9.3,8.8,8.8,0,4100,0
SHS,20200518,8.2,8.38,7.74,8.2,2557985,9,9.2,8.5,9,0,1000,167800
SHS,20200515,8.65,8.65,8.11,8.2,2421293,9.5,9.5,8.9,9,0,500,235600
SHS,20200514,8.38,8.65,8.2,8.47,1996641,9.2,9.5,9,9.3,0,0,84882
SHS,20200513,8.02,8.57,7.75,8.38,2838012,8.8,9.4,8.5,9.2,0,0,354300
SHS,20200512,8.02,8.02,7.75,7.93,1097600,8.8,8.8,8.5,8.7,0,7000,63600
SHS,20200511,8.02,8.2,7.93,8.02,1322730,8.8,9,8.7,8.8,0,7000,63600
SHS,20200508,7.75,8.2,7.75,8.02,1830317,8.5,9,8.5,8.8,0,0,114300
SHS,20200507,7.29,7.84,7.29,7.84,1644398,8,8.6,8,8.6,1610000,0,147100
SHS,20200506,7.29,7.38,7.11,7.38,1322900,8,8.1,7.8,8.1,0,0,94500
SHS,20200505,7.2,7.29,7.11,7.2,737510,7.9,8,7.8,7.9,0,0,94500
SHS,20200504,7.29,7.38,7.11,7.2,647090,8,8.1,7.8,7.9,6500,1000,113700
SHS,20200429,7.2,7.29,7.02,7.29,614600,7.9,8,7.7,8,0,1000,98500
SHS,20200428,7.2,7.2,6.84,7.11,956681,7.9,7.9,7.5,7.8,0,17000,170200
SHS,20200427,7.38,7.47,7.11,7.11,1320424,8.1,8.2,7.8,7.8,0,25100,80000
SHS,20200424,7.38,7.56,7.2,7.38,883765,8.1,8.3,7.9,8.1,0,0,63600
SHS,20200423,7.83,7.92,7.38,7.38,1365187,8.6,8.7,8.1,8.1,0,300,63000
SHS,20200422,6.92,7.93,6.83,7.65,2436013,7.6,8.7,7.5,8.4,0,10000,100
SHS,20200421,8.11,8.11,7.38,7.38,3438266,8.9,8.9,8.1,8.1,0,21000,92000
SHS,20200420,8.11,8.57,8.02,8.11,3708333,8.9,9.4,8.8,8.9,8575,200,100600
SHS,20200417,8.2,8.38,8.11,8.11,2352910,9,9.2,8.9,8.9,25,0,146100
SHS,20200416,8.38,8.38,8.11,8.11,1743869,9.2,9.2,8.9,8.9,0,10000,86900
SHS,20200415,8.38,8.74,8.2,8.38,2642486,9.2,9.6,9,9.2,23500,52900,0
SHS,20200414,8.75,9.02,7.74,8.38,4487276,9.6,9.9,8.5,9.2,0,0,220800
SHS,20200413,7.65,8.2,7.56,8.2,2961400,8.4,9,8.3,9,0,1000,120700
SHS,20200410,7.01,7.47,7.01,7.47,3898740,7.7,8.2,7.7,8.2,0,10080,110500
SHS,20200409,6.38,6.84,6.38,6.83,2979432,7,7.5,7,7.5,70,0,181000
SHS,20200408,6.2,6.29,5.93,6.29,1200015,6.8,6.9,6.5,6.9,0,15700,52200
SHS,20200407,6.38,6.47,6.02,6.29,1591173,7,7.1,6.6,6.9,0,1000,50000
SHS,20200406,5.92,6.28,5.92,6.29,1644665,6.5,6.9,6.5,6.9,0,2000,60900
SHS,20200403,5.56,5.92,5.56,5.92,1221274,6.1,6.5,6.1,6.5,0,0,59600
SHS,20200401,5.01,5.65,5.01,5.56,1090562,5.5,6.2,5.5,6.1,0,0,74700
SHS,20200331,5.19,5.37,4.92,5.19,937446,5.7,5.9,5.4,5.7,25,10900,30600
SHS,20200330,5.56,5.65,5.1,5.1,1228550,6.1,6.2,5.6,5.6,815000,38600,42000
SHS,20200327,5.74,5.74,5.56,5.65,675626,6.3,6.3,6.1,6.2,0,121000,0
SHS,20200326,6.01,6.01,5.74,5.83,851909,6.6,6.6,6.3,6.4,0,0,42300
SHS,20200325,5.65,6.02,5.65,6.01,1091673,6.2,6.6,6.2,6.6,0,0,56400
SHS,20200324,5.29,5.65,5.29,5.56,738401,5.8,6.2,5.8,6.1,0,4700,47600
SHS,20200323,5.92,5.92,5.55,5.56,1842531,6.5,6.5,6.1,6.1,870000,89600,87600
SHS,20200320,5.83,6.1,5.83,6.1,1032785,6.4,6.7,6.4,6.7,100,0,272000
SHS,20200319,6.11,6.2,5.84,6.1,1492440,6.7,6.8,6.4,6.7,980000,326400,121800
SHS,20200318,5.92,6.56,5.92,6.2,1051446,6.5,7.2,6.5,6.8,0,200,40400
SHS,20200317,5.83,6.38,5.56,6.38,1417098,6.4,7,6.1,7,0,0,412375
SHS,20200316,6.01,6.1,5.65,5.92,1192362,6.6,6.7,6.2,6.5,0,0,32112
SHS,20200313,5.55,6.1,5.46,6.01,2741255,6.1,6.7,6,6.6,120000,0,12700
SHS,20200312,6.2,6.2,5.74,6.01,2409365,6.8,6.8,6.3,6.6,50,50000,500
SHS,20200311,6.38,6.74,5.74,6.38,1524642,7,7.4,6.3,7,0,118000,30000
SHS,20200310,6.47,6.93,6.38,6.38,3736132,7.1,7.6,7,7,0,0,8000
SHS,20200309,7.47,7.47,7.01,7.02,969721,8.2,8.2,7.7,7.7,0,0,0
SHS,20200306,7.74,7.92,7.47,7.74,1178796,8.5,8.7,8.2,8.5,0,10000,5700
SHS,20200305,7.65,8.2,7.56,7.74,3266095,8.4,9,8.3,8.5,0,0,1100
SHS,20200304,7.56,7.65,7.28,7.65,1292165,8.3,8.4,8,8.4,0,0,1100
SHS,20200303,7.83,7.93,7.56,7.74,1878568,8.6,8.7,8.3,8.5,0,6700,18000
SHS,20200302,7.38,7.84,7.29,7.47,2083975,8.1,8.6,8,8.2,0,6700,18000
SHS,20200228,6.47,7.2,6.29,7.2,2391691,7.1,7.9,6.9,7.9,0,150,31000
SHS,20200227,6.29,6.56,6.2,6.56,581729,6.9,7.2,6.8,7.2,0,150,31000
SHS,20200226,6.01,6.28,5.92,6.29,939484,6.6,6.9,6.5,6.9,0,66500,797300
SHS,20200225,5.92,6.1,5.92,6.1,1344925,6.5,6.7,6.5,6.7,0,66500,797300
SHS,20200224,6.47,6.47,5.92,5.92,580899,7.1,7.1,6.5,6.5,0,22600,211700
SHS,20200221,6.56,6.56,6.38,6.56,541060,7.2,7.2,7,7.2,0,30000,112500
SHS,20200220,6.47,6.56,6.38,6.56,258190,7.1,7.2,7,7.2,0,10000,104000
SHS,20200219,6.47,6.47,6.38,6.47,402979,7.1,7.1,7,7.1,0,10000,104000
SHS,20200218,6.56,6.56,6.38,6.47,272810,7.2,7.2,7,7.1,0,20000,70000
SHS,20200217,6.47,6.56,6.47,6.56,131747,7.1,7.2,7.1,7.2,2997400,25500,9200
SHS,20200214,6.56,6.56,6.38,6.56,218388,7.2,7.2,7,7.2,0,50000,3000
SHS,20200213,6.65,6.65,6.38,6.56,427410,7.3,7.3,7,7.2,0,28000,150000
SHS,20200212,6.56,6.65,6.47,6.65,414875,7.2,7.3,7.1,7.3,0,11300,10600
SHS,20200211,5.83,6.56,5.83,6.47,403549,6.4,7.2,6.4,7.1,0,74400,0
SHS,20200210,6.38,6.47,6.38,6.47,884600,7,7.1,7,7.1,0,0,0
SHS,20200207,6.56,6.56,6.38,6.47,672134,7.2,7.2,7,7.1,2006000,11500,13900
SHS,20200206,6.1,6.56,6.01,6.56,1095250,6.7,7.2,6.6,7.2,900000,9300,195000
SHS,20200205,6.01,6.19,5.92,6.01,932570,6.6,6.8,6.5,6.6,0,0,345000
SHS,20200204,6.29,6.38,5.93,5.92,564130,6.9,7,6.5,6.5,630000,1000,302500
SHS,20200203,6.29,6.38,5.83,6.2,1216612,6.9,7,6.4,6.8,1100000,130500,95600
SHS,20200131,6.65,6.65,6.38,6.47,435525,7.3,7.3,7,7.1,0,15000,500
SHS,20200130,6.83,6.83,6.56,6.65,332532,7.5,7.5,7.2,7.3,0,0,14700
SHS,20200122,6.83,6.92,6.74,6.83,365600,7.5,7.6,7.4,7.5,0,10000,100
SHS,20200121,6.74,6.92,6.74,6.74,544700,7.4,7.6,7.4,7.4,0,0,200
SHS,20200120,6.83,6.83,6.74,6.83,308935,7.5,7.5,7.4,7.5,0,5000,0
SHS,20200117,6.92,6.92,6.74,6.83,262030,7.6,7.6,7.4,7.5,0,20000,100000
