<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VCB,20200626,84.1,84.7,83,83.3,355930,84.1,84.7,83,83.3,0,227810,215900
VCB,20200625,82.7,84.4,82.7,83.7,506650,82.7,84.4,82.7,83.7,40000,227810,215900
VCB,20200624,86,86,84.1,84.7,710160,86,86,84.1,84.7,30000,369330,251160
VCB,20200623,85.5,87,85.3,86,917230,85.5,87,85.3,86,40000,545990,513240
VCB,20200622,85,85.6,85,85.5,1308600,85,85.6,85,85.5,72490,1010840,928220
VCB,20200619,85,86,85,85.4,723970,85,86,85,85.4,557000,380370,509510
VCB,20200618,84,86.5,83.9,85,1809780,84,86.5,83.9,85,140000,1141510,1327340
VCB,20200617,85,85.2,83.8,84.2,737830,85,85.2,83.8,84.2,503920,203500,578230
VCB,20200616,84,84,82.4,83.7,802980,84,84,82.4,83.7,0,203500,578230
VCB,20200615,85.6,85.8,81.8,82,1218540,85.6,85.8,81.8,82,0,388780,782830
VCB,20200612,82.5,86.5,82.5,85.6,1612920,82.5,86.5,82.5,85.6,0,626680,903990
VCB,20200611,89.5,89.6,87,88,1163900,89.5,89.6,87,88,20000,743810,285910
VCB,20200610,89.5,89.8,89.3,89.6,793590,89.5,89.8,89.3,89.6,2570000,566150,283240
VCB,20200609,89.9,90,89.4,89.5,417690,89.9,90,89.4,89.5,0,790220,453120
VCB,20200608,89.4,90.2,88.4,89.4,802240,89.4,90.2,88.4,89.4,420000,0,0
VCB,20200605,89.1,89.3,87,89,810570,89.1,89.3,87,89,39000,0,0
VCB,20200604,88,89,88,89,450240,88,89,88,89,286140,263530,105780
VCB,20200603,87,87.9,86.9,87.9,462750,87,87.9,86.9,87.9,40000,267730,92970
VCB,20200602,86.9,86.9,86.3,86.6,1009040,86.9,86.9,86.3,86.6,135000,701790,286700
VCB,20200601,85.5,86.7,85.5,86.5,725310,85.5,86.7,85.5,86.5,0,520620,557300
VCB,20200529,85,86,84.5,85.2,1161180,85,86,84.5,85.2,0,901480,290780
VCB,20200528,83,85.1,83,84.5,1849310,83,85.1,83,84.5,469000,1332220,101510
VCB,20200527,83,84.4,82.9,82.9,817770,83,84.4,82.9,82.9,0,355050,84670
VCB,20200526,81,82.6,81,82.5,740930,81,82.6,81,82.5,198460,243480,91130
VCB,20200525,80.9,81.3,80.8,81.1,708710,80.9,81.3,80.8,81.1,109000,360770,184960
VCB,20200522,81.2,81.3,80,81,805710,81.2,81.3,80,81,840610,554830,99050
VCB,20200521,80,81.2,79.6,81.2,1425500,80,81.2,79.6,81.2,154120,419760,102390
VCB,20200520,78.4,79.7,78.4,79.6,710200,78.4,79.7,78.4,79.6,46000,338670,32510
VCB,20200519,79.9,80.1,78.8,79,1129270,79.9,80.1,78.8,79,583000,268980,134270
VCB,20200518,76.3,79,75.8,78.5,1002690,76.3,79,75.8,78.5,142510,551530,21410
VCB,20200515,76.4,76.5,75.6,76,1596240,76.4,76.5,75.6,76,106000,1130170,84640
VCB,20200514,75,76.4,74.9,76,2121750,75,76.4,74.9,76,96320,735070,52240
VCB,20200513,75.6,76.5,72,75.6,1851970,75.6,76.5,72,75.6,0,1090400,19340
VCB,20200512,74.6,76,74.4,75.6,2199500,74.6,76,74.4,75.6,106000,966970,43510
VCB,20200511,74.5,74.5,72.5,74.5,1696160,74.5,74.5,72.5,74.5,53000,0,0
VCB,20200508,70,74.2,69.8,73.5,3865590,70,74.2,69.8,73.5,0,573120,824610
VCB,20200507,67.8,69.7,67.7,69.7,1936540,67.8,69.7,67.7,69.7,453000,573120,824610
VCB,20200506,67.3,67.7,66.5,67.6,855770,67.3,67.7,66.5,67.6,327000,415430,528390
VCB,20200505,67.3,67.7,66.8,66.8,1007640,67.3,67.7,66.8,66.8,0,415430,528390
VCB,20200504,68,68.1,66.8,67.4,852260,68,68.1,66.8,67.4,0,293540,305700
VCB,20200429,68,68.1,67,68,1523750,68,68.1,67,68,106010,47270,932590
VCB,20200428,66.8,68.5,65.2,67,2052860,66.8,68.5,65.2,67,0,288790,1387300
VCB,20200427,69.9,69.9,66.8,66.8,2547060,69.9,69.9,66.8,66.8,56000,225880,1808890
VCB,20200424,69.2,69.6,67.5,68.9,972170,69.2,69.6,67.5,68.9,255100,102790,643130
VCB,20200423,71,71,68.8,69.2,1201610,71,71,68.8,69.2,0,265190,680200
VCB,20200422,69,71.1,69,69.3,1612290,69,71.1,69,69.3,56000,369640,1100880
VCB,20200421,71,71.5,67.8,71.5,2159110,71,71.5,67.8,71.5,53000,597210,1045760
VCB,20200420,71.7,72.4,70.8,71.9,1026030,71.7,72.4,70.8,71.9,430000,74220,114510
VCB,20200417,71.5,71.8,70.9,71.4,1473140,71.5,71.8,70.9,71.4,356000,453740,693750
VCB,20200416,71.2,71.2,69.8,71.2,1057050,71.2,71.2,69.8,71.2,53000,400310,475190
VCB,20200415,69.7,71.3,69.7,70.9,1017740,69.7,71.3,69.7,70.9,100000,400310,475190
VCB,20200414,70.5,70.8,67.8,69.9,1944570,70.5,70.8,67.8,69.9,20000,374520,177540
VCB,20200413,70.6,71.8,70,70.8,1046830,70.6,71.8,70,70.8,0,374520,177540
