<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIC,20200626,93.5,94.4,91.5,91.5,222240,93.5,94.4,91.5,91.5,0,100250,158870
VIC,20200625,93.3,94.4,92.8,93.4,169470,93.3,94.4,92.8,93.4,55000,45250,103870
VIC,20200624,94.5,95.1,94,94.7,214320,94.5,95.1,94,94.7,0,111370,95770
VIC,20200623,96.2,96.3,94.2,94.2,432630,96.2,96.3,94.2,94.2,0,625420,325480
VIC,20200622,97,97,95.2,96.9,508020,97,97,95.2,96.9,300000,325420,25480
VIC,20200619,91,97.3,91,97.3,1840100,91,97.3,91,97.3,0,1742190,746590
VIC,20200618,91.9,92.5,90.9,91,312850,91.9,92.5,90.9,91,2000000,154640,188730
VIC,20200617,93,93.4,90.5,91.9,380880,93,93.4,90.5,91.9,0,350560,266050
VIC,20200616,91.5,94.8,89.9,93.4,658480,91.5,94.8,89.9,93.4,0,350560,266050
VIC,20200615,93,93,89,89,791710,93,93,89,89,0,379020,532570
VIC,20200612,90,92.5,89.9,91.8,875940,90,92.5,89.9,91.8,0,183700,388550
VIC,20200611,95.6,96.2,93,93,761540,95.6,96.2,93,93,0,261930,317480
VIC,20200610,96.2,96.2,95.4,95.6,488490,96.2,96.2,95.4,95.6,0,187260,236020
VIC,20200609,97,97,96.1,96.2,318400,97,97,96.1,96.2,0,81510,116440
VIC,20200608,96,97.6,95.2,96,482180,96,97.6,95.2,96,0,0,0
VIC,20200605,96,96.2,95,95,525870,96,96.2,95,95,100000,0,0
VIC,20200604,96.8,96.8,96,96,550740,96.8,96.8,96,96,5964420,95890,367510
VIC,20200603,96.5,96.8,95.5,96.8,466430,96.5,96.8,95.5,96.8,150000,90650,286530
VIC,20200602,97.2,97.2,96.5,96.7,501700,97.2,97.2,96.5,96.7,0,156430,332640
VIC,20200601,97,97.2,96.5,97.2,481490,97,97.2,96.5,97.2,0,213170,353700
VIC,20200529,97,97.5,96.6,97,493500,97,97.5,96.6,97,0,79970,258600
VIC,20200528,96.9,97.5,96.3,97,314790,96.9,97.5,96.3,97,38800,104140,84010
VIC,20200527,96.9,97.9,96.5,96.9,591440,96.9,97.9,96.5,96.9,1590340,274200,66470
VIC,20200526,97,97.5,96.4,96.9,360000,97,97.5,96.4,96.9,300000,91310,76140
