<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIP,20200724,5.2,5.28,4.91,5.1,109600,5.2,5.28,4.91,5.1,0,0,0
VIP,20200723,5.3,5.3,5,5.2,104270,5.3,5.3,5,5.2,0,6000,0
VIP,20200722,5.32,5.49,5.2,5.2,37560,5.32,5.49,5.2,5.2,0,0,0
VIP,20200721,5.4,5.49,5.3,5.37,85460,5.4,5.49,5.3,5.37,0,0,0
VIP,20200720,5.32,5.39,5.16,5.32,193430,5.82,5.9,5.65,5.82,198422,3500,1070
VIP,20200717,5.33,5.47,5.31,5.38,167810,5.83,5.98,5.81,5.89,0,0,0
VIP,20200716,5.47,5.47,5.31,5.33,145650,5.99,5.99,5.81,5.83,0,0,0
VIP,20200715,5.17,5.31,5.04,5.3,313300,5.65,5.8,5.51,5.8,0,20000,0
VIP,20200714,5.03,5.08,5,5.04,134600,5.5,5.56,5.47,5.51,0,0,22200
VIP,20200713,4.99,5.11,4.99,5.01,74470,5.46,5.59,5.46,5.48,0,0,6300
VIP,20200710,5.04,5.08,4.94,4.99,56900,5.51,5.55,5.4,5.46,0,0,0
VIP,20200709,5.1,5.12,5.04,5.04,130150,5.58,5.6,5.51,5.51,0,0,0
VIP,20200708,5.08,5.13,5.08,5.1,121950,5.55,5.61,5.55,5.58,0,0,0
VIP,20200707,5.04,5.14,5.04,5.05,110600,5.51,5.62,5.51,5.52,0,0,10
VIP,20200706,5.01,5.12,5.01,5.01,99480,5.48,5.6,5.48,5.48,0,0,43300
VIP,20200703,4.94,5.09,4.93,4.98,212460,5.4,5.57,5.39,5.45,0,0,64560
VIP,20200702,4.88,4.89,4.84,4.89,49160,5.34,5.35,5.3,5.35,0,0,0
VIP,20200701,4.94,4.94,4.68,4.88,14810,5.4,5.4,5.12,5.34,0,0,0
VIP,20200630,4.83,4.96,4.69,4.84,68900,5.28,5.42,5.13,5.29,0,0,0
VIP,20200629,4.9,4.9,4.56,4.83,118730,5.36,5.36,4.99,5.28,0,0,0
VIP,20200626,5,5.05,4.9,4.9,35610,5.47,5.52,5.36,5.36,0,5000,0
VIP,20200625,4.76,5.11,4.76,5,103800,5.21,5.59,5.21,5.47,0,5000,0
VIP,20200624,5.03,5.04,4.85,4.85,97830,5.5,5.52,5.31,5.31,0,0,0
VIP,20200623,5.05,5.12,4.98,5.08,295540,5.52,5.6,5.45,5.56,0,0,0
VIP,20200622,5.13,5.26,5.02,5.12,378270,5.62,5.76,5.5,5.6,0,0,0
VIP,20200619,5.12,5.28,5.12,5.27,323040,5.6,5.77,5.6,5.77,0,0,98470
VIP,20200618,5.03,5.31,5.03,5.12,256790,5.5,5.81,5.5,5.6,0,10000,80000
VIP,20200617,4.75,5.06,4.75,5.02,654360,5.2,5.54,5.2,5.49,0,10,23340
VIP,20200616,4.86,4.86,4.59,4.75,95480,5.31,5.31,5.02,5.2,0,10,23340
VIP,20200615,4.71,4.79,4.67,4.71,45610,5.15,5.24,5.11,5.15,0,0,8250
VIP,20200612,4.59,4.71,4.57,4.71,88260,5.02,5.15,5,5.15,0,20000,15000
VIP,20200611,4.72,4.84,4.59,4.59,176500,5.16,5.29,5.02,5.02,0,25000,40000
VIP,20200610,4.77,4.77,4.72,4.72,38390,5.22,5.22,5.16,5.16,0,0,12010
VIP,20200609,4.68,4.8,4.68,4.77,56010,5.12,5.25,5.12,5.22,0,0,30150
VIP,20200608,4.76,4.89,4.73,4.75,169310,5.2,5.34,5.17,5.2,0,0,0
VIP,20200605,4.7,4.72,4.66,4.73,27450,5.15,5.17,5.1,5.17,0,0,0
VIP,20200604,4.58,4.8,4.58,4.74,164150,5.01,5.25,5.01,5.19,0,2000,30530
VIP,20200603,4.54,4.64,4.54,4.58,116630,4.97,5.08,4.97,5.01,0,78480,109540
VIP,20200602,4.67,4.67,4.53,4.54,104570,5.11,5.11,4.96,4.97,0,20000,92060
VIP,20200601,4.67,4.7,4.63,4.67,68970,5.1,5.14,5.06,5.11,0,20800,10530
VIP,20200529,4.62,4.67,4.57,4.62,53570,5.05,5.1,5,5.05,0,20000,8570
VIP,20200528,4.57,4.61,4.55,4.62,54930,5,5.05,4.98,5.05,0,20010,530
VIP,20200527,4.57,4.72,4.52,4.54,206170,4.99,5.16,4.94,4.97,0,21000,530
VIP,20200526,4.54,4.56,4.51,4.52,84590,4.97,4.99,4.94,4.94,0,28000,530
VIP,20200525,4.52,4.52,4.5,4.52,38850,4.95,4.95,4.93,4.95,0,10000,0
VIP,20200522,4.49,4.56,4.48,4.52,123860,4.91,4.99,4.9,4.95,0,18040,0
VIP,20200521,4.55,4.57,4.48,4.49,85900,4.98,5,4.9,4.91,0,32460,390
VIP,20200520,4.57,4.57,4.48,4.55,121790,5,5,4.9,4.98,0,24000,390
VIP,20200519,4.57,4.68,4.57,4.62,171230,5,5.12,5,5.05,0,52200,390
VIP,20200518,4.65,4.65,4.5,4.64,149400,5.09,5.09,4.93,5.08,0,16960,10490
VIP,20200515,4.75,4.77,4.48,4.65,261470,5.2,5.22,4.9,5.09,0,0,95870
VIP,20200514,4.43,4.73,4.41,4.66,292530,4.85,5.18,4.83,5.1,0,35150,20590
VIP,20200513,4.48,4.48,4.38,4.43,63150,4.9,4.9,4.79,4.85,0,0,390
VIP,20200512,4.39,4.55,4.32,4.48,152720,4.8,4.98,4.73,4.9,0,20020,390
VIP,20200511,4.46,4.56,4.36,4.55,103090,4.88,4.99,4.77,4.98,0,20020,390
VIP,20200508,4.13,4.36,4.13,4.36,333950,4.52,4.77,4.52,4.77,0,22010,61070
VIP,20200507,4.02,4.15,4.02,4.08,201120,4.4,4.54,4.4,4.46,0,22010,61070
VIP,20200506,4.02,4.07,4.01,4.02,78530,4.4,4.45,4.39,4.4,0,14300,19620
VIP,20200505,3.95,4.05,3.94,4.02,122120,4.32,4.43,4.31,4.4,0,24000,36740
VIP,20200504,4.02,4.03,3.93,3.93,125820,4.4,4.41,4.3,4.3,0,24000,23630
VIP,20200429,4.02,4.11,3.97,4.02,40700,4.4,4.5,4.35,4.4,0,10,390
VIP,20200428,4.11,4.2,4.02,4.02,185580,4.5,4.6,4.4,4.4,0,44000,65390
VIP,20200427,3.95,4.11,3.95,4.1,115250,4.32,4.5,4.32,4.49,0,20220,490
VIP,20200424,3.88,3.98,3.88,3.92,137640,4.24,4.35,4.24,4.29,0,2000,390
VIP,20200423,3.93,4,3.92,3.93,132940,4.3,4.38,4.29,4.3,0,15500,390
VIP,20200422,3.79,3.96,3.79,3.93,71740,4.15,4.34,4.15,4.3,0,0,2120
VIP,20200421,3.98,4.08,3.89,3.88,173640,4.35,4.46,4.25,4.25,0,0,390
VIP,20200420,4.11,4.29,3.84,4.09,206830,4.5,4.7,4.2,4.47,0,0,390
VIP,20200417,4.11,4.2,3.93,4.11,139780,4.5,4.59,4.3,4.5,0,30200,390
VIP,20200416,3.93,4.01,3.89,3.93,131090,4.3,4.38,4.25,4.3,0,35200,390
VIP,20200415,3.82,3.95,3.82,3.96,126320,4.18,4.33,4.18,4.33,0,35200,390
VIP,20200414,3.75,3.88,3.75,3.79,121390,4.1,4.24,4.1,4.15,0,63160,1170
VIP,20200413,3.65,3.76,3.65,3.75,113150,4,4.12,4,4.1,0,0,0
VIP,20200410,3.7,3.75,3.64,3.7,139820,4.05,4.1,3.98,4.05,0,0,0
VIP,20200409,3.74,3.75,3.68,3.71,115660,4.09,4.1,4.03,4.06,0,0,11830
VIP,20200408,3.7,3.74,3.64,3.7,177980,4.05,4.09,3.98,4.05,0,0,11830
VIP,20200407,3.75,3.78,3.7,3.7,46490,4.1,4.13,4.05,4.05,0,50,390
VIP,20200406,3.74,3.8,3.65,3.73,62730,4.09,4.15,3.99,4.08,0,50,390
VIP,20200403,3.65,3.66,3.64,3.65,33220,3.99,4,3.98,3.99,0,0,390
VIP,20200401,3.65,3.65,3.59,3.64,23060,3.99,4,3.93,3.98,0,0,390
VIP,20200331,3.66,3.66,3.6,3.6,77850,4,4,3.94,3.94,0,0,390
VIP,20200330,3.65,3.65,3.62,3.65,50900,4,4,3.96,3.99,0,0,550
VIP,20200327,3.66,3.8,3.66,3.7,239150,4,4.15,4,4.05,0,232330,0
VIP,20200326,3.72,3.72,3.67,3.67,3950,4.07,4.07,4.01,4.01,0,0,0
VIP,20200325,3.74,3.74,3.7,3.72,30640,4.09,4.09,4.05,4.07,0,6300,0
VIP,20200324,3.68,3.79,3.62,3.74,17810,4.03,4.15,3.96,4.09,0,0,370
VIP,20200323,3.96,3.96,3.69,3.68,228830,4.33,4.33,4.03,4.03,0,0,0
VIP,20200320,3.86,3.98,3.86,3.96,13470,4.22,4.36,4.22,4.33,0,0,220
VIP,20200319,3.97,3.97,3.76,3.93,87660,4.35,4.35,4.12,4.3,0,0,0
VIP,20200318,3.78,4.1,3.78,4.02,84550,4.13,4.48,4.13,4.4,0,0,0
VIP,20200317,3.97,3.97,3.76,3.96,74290,4.34,4.34,4.11,4.33,0,400,0
VIP,20200316,3.99,3.99,3.94,3.96,34650,4.36,4.36,4.3,4.33,0,400,0
VIP,20200313,3.83,3.99,3.83,3.99,20820,4.18,4.36,4.18,4.36,0,0,13080
VIP,20200312,4.01,4.27,3.99,3.99,211640,4.38,4.67,4.36,4.36,0,0,0
VIP,20200311,4.39,4.48,4.28,4.28,38330,4.8,4.9,4.68,4.68,0,0,160
VIP,20200310,4.36,4.39,4.14,4.35,102020,4.77,4.8,4.53,4.76,0,0,160
VIP,20200309,4.5,4.61,4.34,4.34,105990,4.92,5.04,4.75,4.75,0,0,0
