<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VND,20200724,12.55,12.55,11.7,12,819470,12.55,12.55,11.7,12,0,140000,121110
VND,20200723,12.55,12.55,12.1,12.55,433550,12.55,12.55,12.1,12.55,0,40000,111390
VND,20200722,12.7,12.75,12.4,12.5,422740,12.7,12.75,12.4,12.5,0,440,154080
VND,20200721,12.8,12.8,12.6,12.65,405240,12.8,12.8,12.6,12.65,0,14100,86310
VND,20200720,12.7,12.95,12.7,12.7,417590,12.7,12.95,12.7,12.7,0,14100,86310
VND,20200717,12.75,12.85,12.7,12.75,352990,13.25,13.35,13.2,13.25,0,13500,41000
VND,20200716,12.89,12.99,12.7,12.8,260060,13.4,13.5,13.2,13.3,0,10000,53230
VND,20200715,12.99,13.13,12.85,12.89,265590,13.5,13.65,13.35,13.4,0,28110,157750
VND,20200714,12.8,12.99,12.7,12.99,502170,13.3,13.5,13.2,13.5,0,29000,164110
VND,20200713,12.65,12.79,12.65,12.8,262870,13.15,13.3,13.15,13.3,0,70270,108760
VND,20200710,12.8,12.94,12.66,12.65,421530,13.3,13.45,13.15,13.15,0,42580,42260
VND,20200709,12.61,12.8,12.61,12.8,399830,13.1,13.3,13.1,13.3,0,30370,40000
VND,20200708,12.51,12.65,12.46,12.61,364340,13,13.15,12.95,13.1,0,10000,147550
VND,20200707,12.7,12.89,12.51,12.65,422370,13.2,13.4,13,13.15,0,72700,52920
VND,20200706,12.51,12.8,12.46,12.7,318760,13,13.3,12.95,13.2,0,12580,40000
VND,20200703,12.61,12.61,12.42,12.51,268380,13.1,13.1,12.9,13,0,12100,47940
VND,20200702,12.56,12.7,12.46,12.56,189460,13.05,13.2,12.95,13.05,0,24130,41960
VND,20200701,12.7,12.84,12.41,12.7,419100,13.2,13.35,12.9,13.2,0,24130,41960
VND,20200630,12.7,12.79,12.17,12.65,629280,13.2,13.3,12.65,13.15,0,47140,52210
VND,20200629,12.8,12.95,12.37,12.65,666910,13.3,13.45,12.85,13.15,0,47140,52210
VND,20200626,13.09,13.43,12.8,13.14,448840,13.6,13.95,13.3,13.65,0,76030,0
VND,20200625,12.75,13.09,12.61,13.09,318100,13.25,13.6,13.1,13.6,0,76030,0
VND,20200624,13.28,13.47,12.99,13.04,709590,13.8,14,13.5,13.55,2100000,53500,82650
VND,20200623,12.89,13.42,12.84,13.28,1651840,13.4,13.95,13.35,13.8,0,49700,64880
VND,20200622,12.8,12.8,12.56,12.7,276600,13.3,13.3,13.05,13.2,0,52300,41580
VND,20200619,12.41,12.7,12.41,12.7,471300,12.9,13.2,12.9,13.2,0,93140,40000
VND,20200618,12.22,12.56,12.22,12.41,291580,12.7,13.05,12.7,12.9,0,67720,78830
VND,20200617,12.51,12.66,12.37,12.56,349160,13,13.15,12.85,13.05,1800000,163480,30
VND,20200616,11.79,12.56,11.79,12.56,828960,12.25,13.05,12.25,13.05,0,163480,30
VND,20200615,12.51,12.51,11.54,11.74,900520,13,13,12,12.2,0,94740,142800
VND,20200612,11.93,12.41,11.93,12.41,864890,12.4,12.9,12.4,12.9,0,140490,124000
VND,20200611,13.23,13.28,12.41,12.51,1294510,13.75,13.8,12.9,13,0,100630,177930
VND,20200610,13.19,13.33,12.8,13.23,1226160,13.7,13.85,13.3,13.75,0,194550,162000
VND,20200609,13.37,13.47,13.09,13.14,1098390,13.9,14,13.6,13.65,0,32790,83270
VND,20200608,13.47,13.66,13.33,13.47,1140330,14,14.2,13.85,14,0,0,0
VND,20200605,12.99,13.33,12.9,13.23,553840,13.5,13.85,13.4,13.75,0,0,0
VND,20200604,12.65,13.23,12.65,13.09,1762950,13.15,13.75,13.15,13.6,0,44340,177550
VND,20200603,12.51,12.51,12.31,12.46,299560,13,13,12.8,12.95,2200000,6060,45630
VND,20200602,12.65,12.65,12.27,12.41,707380,13.15,13.15,12.75,12.9,0,62210,40340
VND,20200601,12.37,12.51,12.32,12.51,563870,12.85,13,12.8,13,0,50910,40000
VND,20200529,12.03,12.37,11.98,12.27,698280,12.5,12.85,12.45,12.75,0,237750,41000
VND,20200528,12.27,12.41,12.08,12.27,640500,12.75,12.9,12.55,12.75,0,44180,40000
VND,20200527,12.89,12.94,12.27,12.27,875430,13.4,13.45,12.75,12.75,0,66610,94460
VND,20200526,12.22,12.7,12.22,12.65,918430,12.7,13.2,12.7,13.15,0,39990,140000
VND,20200525,11.93,12.22,11.93,12.17,901770,12.4,12.7,12.4,12.65,0,20800,154440
VND,20200522,11.64,12.22,11.59,11.93,1275900,12.1,12.7,12.05,12.4,0,6510,114430
VND,20200521,11.74,11.74,11.6,11.64,285510,12.2,12.2,12.05,12.1,0,0,22330
VND,20200520,11.6,11.74,11.5,11.74,366980,12.05,12.2,11.95,12.2,0,6010,20000
VND,20200519,11.89,11.94,11.65,11.74,941120,12.35,12.4,12.1,12.2,0,20060,25730
VND,20200518,11.45,11.6,11.36,11.55,613630,11.9,12.05,11.8,12,0,41490,199910
VND,20200515,11.84,11.84,11.45,11.5,998670,12.3,12.3,11.9,11.95,0,22390,173270
VND,20200514,11.36,11.94,11.26,11.79,1533990,11.8,12.4,11.7,12.25,0,93470,203270
VND,20200513,11.55,11.79,11.36,11.6,997180,12,12.25,11.8,12.05,0,4220,270500
VND,20200512,11.45,11.93,11.35,11.79,2214440,11.9,12.4,11.8,12.25,0,22830,32670
VND,20200511,10.97,11.36,10.97,11.35,1691260,11.4,11.8,11.4,11.8,0,22830,32670
VND,20200508,10.69,10.98,10.69,10.73,1099470,11.1,11.4,11.1,11.15,0,65600,135000
VND,20200507,10.49,10.63,10.39,10.59,775900,10.9,11.05,10.8,11,0,65600,135000
VND,20200506,10.3,10.49,10.25,10.49,418620,10.7,10.9,10.65,10.9,0,41050,97590
VND,20200505,10.34,10.39,10.24,10.3,259120,10.75,10.8,10.65,10.7,0,40150,50000
VND,20200504,10.49,10.49,10.35,10.34,462800,10.9,10.9,10.75,10.75,0,22000,40050
VND,20200429,10.54,10.58,10.39,10.54,341480,10.95,11,10.8,10.95,0,78670,20000
VND,20200428,10.59,10.59,10.3,10.44,918860,11,11,10.7,10.85,0,58650,467950
VND,20200427,10.59,10.73,10.49,10.54,653770,11,11.15,10.9,10.95,0,320,51800
VND,20200424,10.73,10.73,10.34,10.49,545210,11.15,11.15,10.75,10.9,3000000,56000,320680
VND,20200423,10.78,10.92,10.54,10.68,885930,11.2,11.35,10.95,11.1,0,75000,341570
VND,20200422,10.11,11.02,10.06,10.73,1755810,10.5,11.45,10.45,11.15,0,44900,582390
VND,20200421,10.77,11.06,10.58,10.59,1768960,11.2,11.5,11,11,0,54080,602220
VND,20200420,11.84,11.89,11.36,11.35,1054800,12.3,12.35,11.8,11.8,0,46600,359380
VND,20200417,11.79,11.79,11.45,11.79,1563540,12.25,12.25,11.9,12.25,0,61940,93770
VND,20200416,11.26,11.35,10.78,11.26,1085770,11.7,11.8,11.2,11.7,0,27390,0
VND,20200415,10.83,11.12,10.83,10.92,713990,11.25,11.55,11.25,11.35,0,27390,0
VND,20200414,10.97,10.97,10.68,10.83,811380,11.4,11.4,11.1,11.25,0,0,120670
VND,20200413,11.07,11.26,10.93,10.92,740970,11.5,11.7,11.35,11.35,0,12070,409360
VND,20200410,11.17,11.21,10.78,11.07,1020600,11.6,11.65,11.2,11.5,0,90880,380000
VND,20200409,10.59,11.31,10.49,11.07,1567080,11,11.75,10.9,11.5,0,43000,430530
VND,20200408,10.58,10.77,10.39,10.59,761880,11,11.2,10.8,11,0,43000,430530
VND,20200407,10.97,10.97,10.54,10.87,772910,11.4,11.4,10.95,11.3,0,153510,744250
VND,20200406,10.73,11.07,10.68,10.97,1161690,11.15,11.5,11.1,11.4,0,153510,744250
VND,20200403,10.68,10.97,10.58,10.73,482440,11.1,11.4,11,11.15,0,76440,182500
VND,20200401,10.44,10.97,10.44,10.68,265610,10.85,11.4,10.85,11.1,3887820,240,153450
VND,20200331,10.39,10.92,10.29,10.92,365190,10.8,11.35,10.7,11.35,0,91800,115740
VND,20200330,10.35,10.97,10.25,10.92,338160,10.75,11.4,10.65,11.35,0,114760,10840
VND,20200327,10.59,11.07,10.3,11.02,380090,11,11.5,10.7,11.45,0,162100,121770
VND,20200326,10.97,11.07,10.49,11.07,606350,11.4,11.5,10.9,11.5,0,174340,298660
VND,20200325,11.07,11.41,10.83,11.26,413700,11.5,11.85,11.25,11.7,0,100770,247320
VND,20200324,10.63,11.35,10.63,11.07,379870,11.05,11.8,11.05,11.5,0,72160,108590
VND,20200323,11.45,11.55,11.4,11.4,164420,11.9,12,11.85,11.85,0,10000,27350
VND,20200320,12.17,12.46,12.08,12.22,185470,12.65,12.95,12.55,12.7,5000000,70900,70000
VND,20200319,12.22,12.46,11.98,12.46,414640,12.7,12.95,12.45,12.95,0,70500,105770
VND,20200318,12.36,12.7,12.32,12.51,298780,12.85,13.2,12.8,13,0,70500,105770
VND,20200317,12.03,12.75,11.98,12.7,351090,12.5,13.25,12.45,13.2,0,98000,315740
VND,20200316,12.42,12.7,12.03,12.7,657000,12.9,13.2,12.5,13.2,0,98000,315740
VND,20200313,12.02,12.79,12.02,12.8,665130,12.5,13.3,12.5,13.3,0,50000,29040
VND,20200312,13.81,13.81,12.9,12.89,194240,14.35,14.35,13.4,13.4,1850000,30000,70750
VND,20200311,12.89,13.86,12.41,13.86,389190,13.4,14.4,12.9,14.4,0,101000,187930
VND,20200310,12.41,12.99,12.36,12.99,585660,12.9,13.5,12.85,13.5,0,101000,187930
VND,20200309,12.94,12.99,12.32,12.99,1249660,13.45,13.5,12.8,13.5,0,30000,181500
VND,20200306,13.04,13.23,13.04,13.23,237500,13.55,13.75,13.55,13.75,0,500,30000
VND,20200305,13.23,13.23,12.99,13.23,166170,13.75,13.75,13.5,13.75,0,1000,230000
VND,20200304,13.04,13.23,12.9,13.23,342750,13.55,13.75,13.4,13.75,0,540,233690
VND,20200303,12.99,13.28,12.8,13.28,519750,13.5,13.8,13.3,13.8,0,0,30000
VND,20200302,12.8,12.99,12.75,12.99,213020,13.3,13.5,13.25,13.5,0,0,30000
VND,20200228,12.89,12.99,12.6,12.99,283960,13.4,13.5,13.1,13.5,0,10,54120
VND,20200227,12.9,13.19,12.8,13.18,216890,13.4,13.7,13.3,13.7,3000000,0,69840
VND,20200226,12.89,13.13,12.75,13.14,304540,13.4,13.65,13.25,13.65,0,0,108020
VND,20200225,12.75,13.18,12.7,13.18,471360,13.25,13.7,13.2,13.7,0,0,131980
VND,20200224,13.18,13.28,12.7,13.04,563990,13.7,13.8,13.2,13.55,0,0,131980
VND,20200221,13.38,13.52,13.28,13.52,328310,13.9,14.05,13.8,14.05,0,3030,32000
VND,20200220,13.47,13.61,13.32,13.57,203430,14,14.15,13.85,14.1,0,0,85000
VND,20200219,13.37,13.66,13.32,13.66,258870,13.9,14.2,13.85,14.2,0,0,85000
VND,20200218,13.76,13.76,13.28,13.66,605060,14.3,14.3,13.8,14.2,0,124410,372000
VND,20200217,13.66,13.8,13.47,13.76,231090,14.2,14.35,14,14.3,0,50920,49600
VND,20200214,13.62,13.67,13.38,13.66,137900,14.15,14.2,13.9,14.2,0,6160,47560
VND,20200213,13.71,13.71,13.47,13.62,65030,14.25,14.25,14,14.15,0,0,0
VND,20200212,13.48,13.76,13.43,13.76,313910,14,14.3,13.95,14.3,0,77660,10020
VND,20200211,13.23,13.62,13.19,13.62,173340,13.75,14.15,13.7,14.15,0,960,0
VND,20200210,13.33,13.47,13.28,13.33,31640,13.85,14,13.8,13.85,0,960,0
VND,20200207,13.47,13.67,13.28,13.52,158540,14,14.2,13.8,14.05,0,0,27120
VND,20200206,12.85,13.67,12.85,13.57,210290,13.35,14.2,13.35,14.1,0,40460,23350
VND,20200205,13.37,13.57,13.18,13.57,104530,13.9,14.1,13.7,14.1,0,10000,290
VND,20200204,13.47,13.47,12.84,13.47,617580,14,14,13.35,14,0,195190,353500
VND,20200203,14.01,14.01,13.19,13.47,854260,14.55,14.55,13.7,14,0,140670,487860
VND,20200131,13.96,14.34,13.76,14.15,271930,14.5,14.9,14.3,14.7,0,8590,23180
VND,20200130,14.43,14.43,13.95,14.39,217470,15,15,14.5,14.95,0,3360,32600
VND,20200122,14.05,14.53,13.95,14.53,441020,14.6,15.1,14.5,15.1,0,9070,7530
VND,20200121,13.95,13.95,13.85,13.95,151950,14.5,14.5,14.4,14.5,0,600,7220
VND,20200120,13.76,14,13.76,13.9,52730,14.3,14.55,14.3,14.45,1900000,27560,0
VND,20200117,13.91,13.91,13.47,13.9,198600,14.45,14.45,14,14.45,0,0,70000
VND,20200116,13.8,13.85,13.56,13.86,128120,14.35,14.4,14.1,14.4,0,0,5000
VND,20200115,13.71,13.81,13.61,13.66,109910,14.25,14.35,14.15,14.2,0,400,0
VND,20200114,13.52,13.81,13.52,13.71,116130,14.05,14.35,14.05,14.25,0,8720,3600
VND,20200113,13.76,13.81,13.66,13.76,109370,14.3,14.35,14.2,14.3,0,0,0
VND,20200110,13.71,13.76,13.66,13.76,89810,14.25,14.3,14.2,14.3,0,7650,9030
VND,20200109,13.57,13.71,13.57,13.71,92680,14.1,14.25,14.1,14.25,0,0,11220
VND,20200108,13.57,13.62,13.28,13.57,233880,14.1,14.15,13.8,14.1,0,760,23800
VND,20200107,13.76,13.76,13.57,13.76,68060,14.3,14.3,14.1,14.3,0,3100,0
VND,20200106,13.67,13.86,13.57,13.76,149130,14.2,14.4,14.1,14.3,0,11040,11000
VND,20200103,13.9,13.9,13.61,13.86,163940,14.45,14.45,14.15,14.4,0,26820,0
VND,20200102,13.52,13.91,13.52,13.9,58580,14.05,14.45,14.05,14.45,0,7700,10000
VND,20191231,13.86,13.86,13.57,13.86,108720,14.4,14.4,14.1,14.4,0,0,0
VND,20191230,13.62,13.91,13.62,13.81,191100,14.15,14.45,14.15,14.35,0,13200,61150
VND,20191227,13.76,13.96,13.67,13.86,128290,14.3,14.5,14.2,14.4,2500000,19500,0
VND,20191226,13.85,13.85,13.61,13.86,186720,14.4,14.4,14.15,14.4,0,100,0
VND,20191225,13.52,13.91,13.52,13.9,152820,14.05,14.45,14.05,14.45,0,110,70
VND,20191224,13.95,13.95,13.66,13.86,189950,14.5,14.5,14.2,14.4,3000000,13200,61150
VND,20191223,13.95,13.95,13.76,13.95,93160,14.5,14.5,14.3,14.5,0,0,0
VND,20191220,14,14,13.47,13.95,417790,14.55,14.55,14,14.5,0,2000,270050
VND,20191219,13.95,14,13.76,14,160790,14.5,14.55,14.3,14.55,219690,51650,20000
VND,20191218,13.95,13.95,13.71,13.95,156730,14.5,14.5,14.25,14.5,1950000,23270,20530
VND,20191217,13.86,13.91,13.67,13.9,354360,14.4,14.45,14.2,14.45,0,210,26160
VND,20191216,13.81,13.86,13.76,13.81,166860,14.35,14.4,14.3,14.35,0,3800,11000
VND,20191213,13.85,13.85,13.52,13.81,206520,14.4,14.4,14.05,14.35,0,0,74040
VND,20191212,13.28,13.91,13.19,13.9,204240,13.8,14.45,13.7,14.45,0,2000,22250
VND,20191211,13.28,13.38,13.24,13.38,67310,13.8,13.9,13.75,13.9,0,0,23370
VND,20191210,13.33,13.43,13.28,13.38,344030,13.85,13.95,13.8,13.9,1850000,110,0
VND,20191209,13.33,13.33,13.23,13.33,113990,13.85,13.85,13.75,13.85,0,400,740
